Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
THBS1	5.794287859577628	5.789155136481486	5.572634130328456	6.693604125524892	6.470740693057455	6.227807497688601	-5.495484659911512	-5.4957944270814005	-5.211009318738539	-6.992407325190988	-6.764101402457587	-6.589432309278541
PPBP	2.1570188607323293	1.6720019586331245	2.4384536427569516	8.313551336561906	7.0360241947199285	9.41524767371564	-4.638889681869169	-3.8680638282130198	-5.8028283528220825	-5.831680515425094	-4.839962325140034	-6.050872963650532
DUSP27		7.859996876790662			8.894386051136536			-7.3031974909588095			-9.451185436968386	
CD9	4.576867891982509		4.8023399861624565	7.451890108072081		6.1994166994443045	-3.330684281336922		-3.3242387958222737	-8.698073718717684		-7.677517889784478
ITGB3	3.7750975346969335	2.4996713620300115	3.506253671904477	7.853842237709339	4.467484364114631	5.9427341486835195	-4.190608449115614	-2.8871594709067767	-3.6941924985170425	-7.4383313232906785	-4.079996255237857	-5.754795322070964
ITGA2B	3.88382611080394	3.1109388214699107	3.5234632756932367	6.081213027633396	5.08673041358412	5.34144087011234	-4.57552758490416	-3.9039366880074873	-3.8194394085433165	-5.389511553533167	-4.293732547046588	-5.0454647372622246
SIRT1	2.9631556668013066	0.4919919436123636	4.5310264832759035	5.233779326296896	-1.7135354646081218	7.459956261154171	-3.7804298096273588	-0.1861730527805347	-5.94658627981498	-4.4165051834708535	1.4077165737763	-6.044396464615126
AKR1C3	0.7617364127073678	0.4900604319432879	1.1810062229399136	6.693982257387173	5.825405801185651	6.921735488854633	-3.6688081153788654	-3.4987883081348823	-5.128058111468596	-3.7869105547156585	-2.8166779249940554	-2.9746836003259616
CLIC2	0.5148841275884056	0.4223510169715973	0.1134931408662398	7.022605119634224	5.109720889649374	7.1089848931845365	-4.873041471664074	-3.3536543673562003	-4.320101539952171	-2.664447775558584	-2.178417539264771	-2.9023764940986347
TNFRSF18	5.787949814772763	0.9507174518998528	6.661079903639282	2.031948336972663	-1.7754612717636504	6.394466690854312	-3.6667849318525487	0.7006349756157577	-5.385097562252125	-4.153113219892877	0.1241088442480652	-7.6704490322414625
NCR1	3.7929149924327814	3.8424375849318446	7.1305374985038785	2.378564619153582	3.961339913292912	4.34663279462876	-3.636689012097935	-3.2783406960669064	-6.123753720052549	-2.5347905994884283	-4.525436802157853	-5.3534165730800805
GAL3ST4	0.8591769882825511	6.106476971185862	-0.1960206244931679	-2.1111699894287317	8.265843526218298	-1.2912256806935054	2.1272407205254926	-6.534895581212009	0.4545081654153705	-0.8752477193793243	-7.837424916192142	1.0327381397712954
GSTM3	-8.874777351309264	-11.225495840919287	-9.531277107213867	8.70229253667962	9.566433939753002	8.44843375627846	-7.543521328376144	-7.430829923799419	-6.267929878797167	7.7160061430057585	9.089891824965694	7.350773229732566
TFRC	-3.5122770939801224	-3.6666173579024814	-3.3287600014396013	7.048018125490698	7.921241621012413	7.5337404288332905	-7.022742554911155	-8.456035535943089	-7.67059098106017	3.487001523400622	4.201411272833131	3.4656105536664805
BLVRB	-4.714893613558477	-4.761708395699603	-5.288108413734877	5.6105426684553406	5.892137136412939	5.905865904908572	-5.419797082634324	-5.68521477227807	-5.0598793740931365	4.524148027737478	4.554786031564722	4.442121882919486
ALB	-7.551396806788663	-7.811655143170648	-6.48958782322095	6.4461835541222	6.9544473603591275	5.988117168388501	-1.444443299927979	-1.9949478590506216	-1.5653598111699516	2.5496565525944836	2.852155641862201	2.0668304660023558
LXN	-5.107403887500941	-3.66268022490024	-6.258709800224673	7.626048190111951	5.085205429376884	8.491253890263831	-4.858205310701806	-2.636807582145869	-5.031761263302023	2.3395610080907763	1.2142823776692344	2.799217173262857
TF	-3.254544690875393	-3.1406303351841904	-3.33028224407643	6.785673140445047	6.7908284559744825	6.705262550654344	-6.152583723996657	-5.9032078381567095	-5.7844609779847564	2.621455274427026	2.253009717366418	2.409480671406912
MUC16	-8.990914826896697	-4.004277267798788	-1.6143063271419256	7.535527600105603	5.0833124668034175	1.4006806170500603	-4.158176590125482	-3.756536868550589	-0.994927137915407	5.613563816916576	2.6775016695459755	1.2085528480072445
CDH1	-4.4065479684030295	-3.4372918548959244	-2.3167150908427487	8.652177456784015	7.342629285435238	4.636103433523832	-5.7030751397826585	-4.578779992814905	-2.2391323829391947	1.4574456514016931	0.6734425622755991	-0.0802559597419089
ACCSL	-6.155912469637131	-5.78005058172178		4.386738448251071	5.758670861523933		-2.1965871222482294	-5.982065256252228		3.9657611436342686	6.003444976450075	
C2orf65	-6.997594983829358		-7.3187458190396395	6.508672400074638		6.938886103125888	-1.8535671423931799		-1.9524476222677063	2.342489726147899		2.3323073381814905
FKBP5	-4.443492122559244	-4.226328355353594	-4.6783249539818925	4.455590521941419	4.286729651108572	4.637316754091177	-5.088310050220222	-5.213220675517973	-4.844808884586402	5.076211650838087	5.152819379762984	4.885817084477073
SPTB	-3.6614524726896036	-3.394100698800704	-4.2314830579680605	3.598840068611824	3.2827868612110294	3.7914852641912793	-4.833645335851508	-4.8820702508252545	-5.102872850339212	4.896257739929278	4.993384088414876	5.542870644115993
SPTA1	-2.5633829505641423	-2.134473480156313	-2.4202383613148606	3.5922221745516394	3.944208747477132	3.4262537822573615	-5.841169412662222	-6.590068981586237	-5.487408162299265	4.812330188674723	4.78033371426542	4.4813927413567765
FECH	-4.5349083626821045	-3.928279438154568	-4.1554270338948545	4.1479853047293105	3.8281008937323207	3.6729331551816027	-4.557991164984012	-4.693618943266106	-3.8507717315022068	4.944914222936795	4.793797487688363	4.333265610215438
PKLR	-4.637805536890466	-3.3708757879770057	-4.154535868394961	4.28895860232535	3.0787357782976	3.807333573878112	-4.516602204352162	-3.664578738154427	-4.130110851721007	4.865449138917299	3.9567187478338335	4.477313146237833
