snps	gene	statistic	pvalue	FDR	beta
CTNNB1	TUFM	3.03690241622908	0.0028050935208961698	0.03542210229850963	0.659435898455176
CTNNB1	LGALS1	-3.0368720291617	0.0028053602162584103	0.03542210229850963	-0.756813691987145
CTNNB1	BOD1	3.03681590860909	0.00280585282578288	0.03542210229850963	0.36735104306515604
CTNNB1	ART4	-3.03583813756925	0.00281444821942929	0.03542210229850963	-0.747359847973913
CTNNB1	WBSCR22	3.03561096810521	0.00281644869409698	0.03542210229850963	0.403990077268992
CTNNB1	MIEF1	-3.0352644993720097	0.0028195022534697103	0.03542210229850963	-0.45698106325421994
CTNNB1	NFATC3	3.0329998158029596	0.00283953706366297	0.035506110797450516	0.339270150606457
CTNNB1	TRIM27	3.03049494586556	0.00286184952049536	0.03573520049790092	0.544734637077962
CTNNB1	PLXNC1	-3.02929437825876	0.00287260092673399	0.03581949317137801	-0.718015602142711
CTNNB1	LACTB2	3.0250564660899	0.00291085091827835	0.03624596421605851	0.831080581718287
CTNNB1	PDCL3	-3.02405880676282	0.0029199234509098	0.03630843702221589	-0.428195126492695
CTNNB1	NCOA7	-3.0239597134302096	0.00292082600883228	0.03630843702221589	-0.443904043959147
CTNNB1	ARHGAP42	-3.02299689053223	0.00292960894735754	0.03632796247325769	-0.405575975675055
CTNNB1	PFDN4	-3.02259940199337	0.0029332419578880003	0.03632796247325769	-0.45271819098887506
CTNNB1	MRPL24	3.02254191169887	0.0029337677576533397	0.03632796247325769	0.5356723903311189
CTNNB1	RMDN1	3.0206214717681097	0.00295138186939698	0.03644651293339471	0.744132041914428
CTNNB1	EPS15L1	-3.0190508424212403	0.0029658599213999303	0.03657485382409583	-0.412510070433306
CTNNB1	HGD	3.0181357726033395	0.00297432516594867	0.036628793962501294	1.03461185047698
CTNNB1	MT-ND4	3.0178077397343794	0.00297736519002589	0.036628793962501294	0.7629784710215992
CTNNB1	SLC2A6	-3.0167333999617796	0.0029873416162206103	0.03668816116601251	-0.7676840524295371
CTNNB1	PDE12	3.0160766776390804	0.00299345516038359	0.036712882261526414	0.33890663675303007
CTNNB1	GNAZ	-3.01471541659039	0.00300616409803866	0.036818313501696474	-1.0183819522956399
CTNNB1	ADH5	3.0127243802672004	0.00302484223520754	0.03699646520739495	0.602744988567079
CTNNB1	SLC2A13	-3.01208090580886	0.00303090155748042	0.03702000224300436	-0.706792921810128
CTNNB1	UBE2E3	-3.0116245623287003	0.00303520552048861	0.03702206406666829	-0.444850048661305
CTNNB1	THNSL1	3.00994003896211	0.00305114173400781	0.03716581216948561	0.731635445455127
CTNNB1	LRRC8A	-3.00891819872758	0.00306084622861699	0.03723336451740205	-0.38737465094769397
CTNNB1	MGEA5	3.0072260878921604	0.0030769788549584102	0.03737882182963724	0.541994567402648
