snps	gene	statistic	pvalue	FDR	beta
RB1	RB1	-4.40846413796665	1.93632931973453e-05	0.00507796320804766	-1.4654714040956
RB1	MKI67	4.406044890254	1.95562801760729e-05	0.00507796320804766	2.2591501396721
RB1	PRODH	4.38993409366268	2.08894336057049e-05	0.00507796320804766	4.39889741048628
RB1	SPAG9	4.36297742362275	2.33176382170507e-05	0.005493758288348814	0.907161559549116
RB1	MCM6	4.3554371563931	2.40439934495633e-05	0.005519637778306159	2.47491720835535
RB1	MSH6	4.35312715033103	2.42708324061077e-05	0.005519637778306159	1.69038989439701
RB1	MYO19	4.34989326143128	2.45918512173642e-05	0.005519637778306159	1.50934885634145
RB1	NCAPG2	4.33853404890942	2.57520808807321e-05	0.005519637778306159	1.27674721060514
RB1	MCM7	4.28347043685704	3.2162120618654e-05	0.006696452695321146	2.36365084034117
RB1	POLE2	4.27926749643743	3.27097601840466e-05	0.006696452695321146	1.34562604998422
RB1	ITPR3	4.22997454474708	3.98380962747692e-05	0.007926010576622414	1.93163704243351
RB1	HAUS1	4.20449722986475	4.40837174578486e-05	0.00858003309565475	0.995351798166949
RB1	PPM1G	4.18243950801412	4.81064435875636e-05	0.009163765732754403	1.01062837097417
RB1	SUPT16H	4.17106955621854	5.03149586793484e-05	0.009384788022004298	1.09312937100426
RB1	ETF1	4.1168003786128	6.22620443898334e-05	0.01137616496779956	0.741380879965279
RB1	CDC27	4.10784035388173	6.44788070732819e-05	0.011545575194541857	0.800280124492774
RB1	RFC4	4.09273280208788	6.83882859960594e-05	0.012005496559269017	1.3274483660582
RB1	GINS4	4.07159954404388	7.42387202102946e-05	0.01278190888543784	1.18652028902691
RB1	FAF1	4.05691481983011	7.8582167638513e-05	0.013274455601275603	0.963049689057418
RB1	DNAJC7	4.05161189083176	8.0209471729158e-05	0.013298433340576883	1.15573655745151
RB1	TOP3A	4.03508119958221	8.54911577046194e-05	0.013916406089626498	1.17891610057954
RB1	TRIM32	4.03129560283335	8.67465493958011e-05	0.013916406089626498	0.787755129665103
RB1	PRPS2	4.00641306942077	9.54464570862158e-05	0.014991791759524385	1.66203176636013
RB1	POLE	3.9982300911135	9.84849763628448e-05	0.015202344713388783	1.31201130234868
RB1	SLC25A19	3.97005673185242	0.0001096670489842	0.016641509992466823	1.20042547749859
RB1	NCBP1	3.90727069148575	0.0001390942264614	0.020755176825148568	0.901681303566667
RB1	KLHL36	-3.90008126156138	0.0001429072859439	0.02097457264025798	-0.813257151618634
RB1	CCNT1	3.89375701592464	0.0001463434578659	0.0211324673915065	0.883863579220996
RB1	ANGPTL3	-3.89214226820561	0.0001472333106542	0.0211324673915065	-2.38141293365998
RB1	RNF20	3.87496270121926	0.0001570246110649	0.021966270982250777	0.691752373494961
RB1	RFC3	3.8737004473634	0.0001577679073227	0.021966270982250777	1.1028721034928
RB1	NSL1	3.8641911784736	0.0001634760122399	0.022175768751270072	1.06072143826152
RB1	PSME3	3.85864612704213	0.0001668945189371	0.02230159146334114	0.83846464639725
RB1	CBX5	3.8483187532588	0.0001734430803346	0.022835822032877554	1.47428415173486
RB1	ACBD6	3.80165355465265	0.0002061960992594	0.026754690966223307	1.01823980594629
RB1	LUC7L3	3.78891902252727	0.0002161054113937	0.027639882117254228	0.607658854822279
RB1	POLR3C	3.7889018354778	0.0002161190855047	0.027639882117254228	0.774518050836569
RB1	BCL2L11	3.78166312670355	0.0002219517433604	0.027639882117254228	1.07176236822206
RB1	ATXN2L	3.76910124931032	0.0002324292877211	0.02850601935571244	0.829361246936184
RB1	MLLT1	3.76275881105577	0.0002378957530479	0.028782171311322283	0.703366876545248
RB1	FKBP5	3.75904148256508	0.0002411560501084	0.02878760155494007	1.47337570007833
RB1	CAND2	3.74658007288287	0.0002523968470834	0.02973301278865369	1.72857659028337
RB1	THRAP3	3.74507119740384	0.0002537911198518	0.02973301278865369	0.566686035221206
RB1	SSRP1	3.72156836612039	0.000276472787599	0.03173411368428009	1.00007338960987
RB1	PRKD2	-3.71880797095746	0.0002792592177587	0.03173411368428009	-0.638757554390826
